Year,Maha,Yala,Total
1979,3547,2837,3246
1980,3748,2970,3449
1981,3737,3112,3466
1982,4707,3895,4422
1983,5274,4438,4905
1984,3785,3847,3813
1985,4874,4396,4674
1986,4876,3943,4442
1987,4912,3749,4424
1988,4341,4109,4238
1989,4266,4112,4196
1990,4554,3812,4202
1991,4438,3972,4220
1992,4414,3898,4211
1993,5048,4681,4872
1994,3023,4473,3737
1995,4861,4240,4559
1996,4833,3973,4481
1997,4916,4409,4690
1998,4114,4335,4218
1999,4236,4366,4300
2000,4539,4560,4549
2001,4948,4873,4911
2002,4627,4528,4580
2003,4462,4474,4468
2004,5019,4988,5006
2005,4992,4761,4879
2006,4911,4899,4905
2007,5119,5057,5088
2008,4900,4971,4935
2009,5223,4737,5033
2010,5336,5095,5217
2011,3831,5028,4436
2012,5086,4199,4719
2013,4889,4725,4808
2014,4819,4902,4849
2015,5306,5131,5226
